link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,mode_type_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_auto,vehicle_vol_hov2,vehicle_vol_hov3,vehicle_vol_trk,vehicle_vol_com,vehicle_vol_apv,MEU_vol_auto,MEU_vol_hov2,MEU_vol_hov3,MEU_vol_trk,MEU_vol_com,MEU_vol_apv,mode_link_cap_auto,mode_link_cap_hov2,mode_link_cap_hov3,mode_link_cap_trk,mode_link_cap_com,mode_link_cap_apv,mode_DOC_auto,mode_DOC_hov2,mode_DOC_hov3,mode_DOC_trk,mode_DOC_com,mode_DOC_apv,mode_TT_auto,mode_TT_hov2,mode_TT_hov3,mode_TT_trk,mode_TT_com,mode_TT_apv,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,3,3.000000,1.950400,1.212181,1.212181,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,73.000,73.000,-1.000,0.000,,4:73;,0.000,0.000,0.000,,,,0.000,1.212,96.536,59.998,1.000,0.128,0.128,1900.000,5700.000,0.000,0.004,0.000,1.000,3.000,243.333,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.527,82.059,88.489,1.475,88.489,1.475,0.000,0.000,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",73.000,0.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000,0.000,5700.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.128070,0.128070,0.128070,0.128070,0.128070,0.128070,1.212,1.212,1.212,1.212,1.212,1.212,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,73.000,73.000,0.000,96.536,96.536,0.000,0.128,0.128,0.000,0.000,0.000,0.000,period-based
2,2,bpr,3,4,3.000000,1.891960,1.175861,1.175861,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,73.000,73.000,-1.000,0.000,,5:73;,0.000,0.000,0.000,,,,0.000,1.176,96.535,59.997,1.000,0.135,0.135,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,243.333,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.524,82.059,85.838,1.431,85.838,1.431,0.000,0.000,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",73.000,0.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.135185,0.135185,0.135185,0.135185,0.135185,0.135185,1.176,1.176,1.176,1.176,1.176,1.176,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,73.000,73.000,0.000,96.535,96.535,0.000,0.135,0.135,0.000,0.000,0.000,0.000,period-based
3,3,bpr,4,5,3.000000,1.815980,1.128639,1.128639,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,73.000,73.000,-1.000,0.000,,6:73;,0.000,0.000,0.000,,,,0.000,1.129,96.535,59.997,1.000,0.135,0.135,1800.000,5400.000,0.000,0.004,0.000,1.000,3.000,243.333,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.524,82.059,82.391,1.373,82.391,1.373,0.000,0.000,"LINESTRING (-112.1827040 33.6676370, -112.1631160 33.6677720)",73.000,0.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.135185,0.135185,0.135185,0.135185,0.135185,0.135185,1.129,1.129,1.129,1.129,1.129,1.129,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,73.000,73.000,0.000,96.535,96.535,0.000,0.135,0.135,0.000,0.000,0.000,0.000,period-based
4,4,bpr,5,6,3.000000,2.078070,1.291529,1.291529,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,73.000,73.000,-1.000,0.000,,7:73;,0.000,0.000,0.000,,,,0.000,1.292,96.535,59.997,1.000,0.135,0.135,1800.000,5400.000,0.000,0.001,0.000,1.000,3.000,243.333,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.524,82.059,94.282,1.571,94.282,1.571,0.000,0.000,"LINESTRING (-112.1631160 33.6677720, -112.1407010 33.6679260)",73.000,0.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.135185,0.135185,0.135185,0.135185,0.135185,0.135185,1.292,1.292,1.292,1.292,1.292,1.292,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,73.000,73.000,0.000,96.535,96.535,0.000,0.135,0.135,0.000,0.000,0.000,0.000,period-based
5,5,bpr,6,7,3.000000,1.890790,1.175134,1.175134,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,73.000,73.000,-1.000,0.000,,8:72;42:1;,0.000,0.000,0.000,,,,0.000,1.175,96.535,59.997,1.000,0.135,0.135,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,243.333,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.524,82.059,85.785,1.430,85.785,1.430,0.000,0.000,"LINESTRING (-112.1407010 33.6679260, -112.1203060 33.6680670)",73.000,0.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.135185,0.135185,0.135185,0.135185,0.135185,0.135185,1.175,1.175,1.175,1.175,1.175,1.175,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,73.000,73.000,0.000,96.535,96.535,0.000,0.135,0.135,0.000,0.000,0.000,0.000,period-based
6,6,bpr,7,8,3.000000,2.059340,1.279888,1.279888,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,72.000,72.000,-1.000,0.000,,9:72;,0.000,0.000,0.000,,,,0.000,1.280,96.535,59.997,1.000,0.133,0.133,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,240.000,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.525,82.059,92.152,1.536,92.152,1.536,0.000,0.000,"LINESTRING (-112.1203060 33.6680670, -112.0980930 33.6682200)",72.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,1.280,1.280,1.280,1.280,1.280,1.280,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,72.000,72.000,0.000,96.535,96.535,0.000,0.133,0.133,0.000,0.000,0.000,0.000,period-based
7,7,bpr,8,9,3.000000,1.703610,1.058800,1.058800,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,72.000,72.000,-1.000,0.000,,10:72;,0.000,0.000,0.000,,,,0.000,1.059,96.535,59.997,1.000,0.133,0.133,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,240.000,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.525,82.059,76.234,1.271,76.234,1.271,0.000,0.000,"LINESTRING (-112.0980930 33.6682200, -112.0797170 33.6683470)",72.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,1.059,1.059,1.059,1.059,1.059,1.059,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,72.000,72.000,0.000,96.535,96.535,0.000,0.133,0.133,0.000,0.000,0.000,0.000,period-based
8,8,bpr,10,11,2.000000,1.497710,0.930833,0.930833,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,72.000,72.000,-1.000,0.000,,12:72;,0.000,0.000,0.000,,,,0.000,0.931,96.517,59.986,1.000,0.200,0.200,1800.000,3600.000,0.000,0.000,0.000,1.000,2.000,360.000,0.955,1.142,0.002,0.000,96.540,82.059,0.400,4.000,96.463,82.059,67.020,1.117,67.020,1.117,0.000,0.000,"LINESTRING (-112.0623510 33.6684660, -112.0461960 33.6685780)",72.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,0.000,3600.000,4000.000,4000.000,4000.000,4000.000,4000.000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.931,0.931,0.931,0.931,0.931,0.931,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,72.000,72.000,0.000,96.517,96.517,0.000,0.200,0.200,0.000,0.002,0.002,0.000,period-based
9,9,bpr,11,12,3.000000,0.987380,0.613661,0.613661,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,72.000,72.000,-1.000,0.000,,2:72;,0.000,0.000,0.000,,,,0.000,0.614,96.535,59.997,1.000,0.133,0.133,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,240.000,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.525,82.059,44.184,0.736,44.184,0.736,0.000,0.000,"LINESTRING (-112.0461960 33.6685780, -112.0386420 33.6623000)",72.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.614,0.614,0.614,0.614,0.614,0.614,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,72.000,72.000,0.000,96.535,96.535,0.000,0.133,0.133,0.000,0.000,0.000,0.000,period-based
10,10,bpr,9,10,2.000000,1.609970,1.000603,1.000603,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,72.000,72.000,-1.000,0.000,,11:72;,0.000,0.000,0.000,,,,0.000,1.001,96.517,59.986,1.000,0.200,0.200,1800.000,3600.000,0.000,0.000,0.000,1.000,2.000,360.000,0.955,1.142,0.002,0.000,96.540,82.059,0.400,4.000,96.463,82.059,72.043,1.201,72.043,1.201,0.000,0.000,"LINESTRING (-112.0797170 33.6683470, -112.0623510 33.6684660)",72.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,0.000,3600.000,4000.000,4000.000,4000.000,4000.000,4000.000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,1.001,1.001,1.001,1.001,1.001,1.001,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,72.000,72.000,0.000,96.517,96.517,0.000,0.200,0.200,0.000,0.002,0.002,0.000,period-based
11,11,bpr,1,14,3.000000,0.768430,0.477582,0.477582,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,0.000,0.000,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,0.478,96.540,60.000,1.000,0.000,0.000,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,0.000,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.540,82.059,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.2164130 33.6539270, -112.2113330 33.6484510)",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.478,0.478,0.478,0.478,0.478,0.478,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,0.000,0.000,0.000,96.540,96.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
12,12,bpr,14,15,3.000000,0.633210,0.393543,0.393543,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,0.000,0.000,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,0.394,96.540,60.000,1.000,0.000,0.000,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,0.000,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.540,82.059,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.2113330 33.6484510, -112.2070350 33.6440130)",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.394,0.394,0.394,0.394,0.394,0.394,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,0.000,0.000,0.000,96.540,96.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
13,13,bpr,15,16,3.000000,0.680980,0.423232,0.423232,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,0.000,0.000,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,0.423,96.540,60.000,1.000,0.000,0.000,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,0.000,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.540,82.059,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.2070350 33.6440130, -112.2023290 33.6392980)",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.423,0.423,0.423,0.423,0.423,0.423,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,0.000,0.000,0.000,96.540,96.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
14,14,bpr,16,17,3.000000,1.067520,0.663468,0.663468,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0705,0.000,0.000,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,0.663,96.540,60.000,1.000,0.000,0.000,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,0.000,0.955,1.142,0.000,0.000,96.540,82.059,0.400,4.000,96.540,82.059,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.2023290 33.6392980, -112.1908180 33.6393780)",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5400.000,6000.000,6000.000,6000.000,6000.000,6000.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.663,0.663,0.663,0.663,0.663,0.663,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,96.540,,0.000,0.000,0.000,96.540,96.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
